"URN","ClassName","Bitlength"
"VERTEX29","QRElement","3069"
"VERTEX29","BigInteger","25"
"VERTEX65","QRElement","3071"
"VERTEX65","BigInteger","25"
"VERTEX54","QRElement","3071"
"VERTEX54","BigInteger","25"
"VERTEX49","QRElement","3069"
"VERTEX49","BigInteger","25"
"VERTEX7","QRElement","3069"
"VERTEX7","BigInteger","26"
"VERTEX50","QRElement","3070"
"VERTEX50","BigInteger","26"
"VERTEX41","QRElement","3071"
"VERTEX41","BigInteger","26"
"VERTEX67","QRElement","3071"
"VERTEX67","BigInteger","26"
"VERTEX96","QRElement","3070"
"VERTEX96","BigInteger","26"
"VERTEX97","QRElement","3071"
"VERTEX97","BigInteger","25"
"VERTEX59","QRElement","3071"
"VERTEX59","BigInteger","25"
"VERTEX20","QRElement","3069"
"VERTEX20","BigInteger","25"
"VERTEX55","QRElement","3070"
"VERTEX55","BigInteger","25"
"VERTEX78","QRElement","3070"
"VERTEX78","BigInteger","25"
"VERTEX36","QRElement","3069"
"VERTEX36","BigInteger","25"
"VERTEX39","QRElement","3070"
"VERTEX39","BigInteger","25"
"VERTEX13","QRElement","3071"
"VERTEX13","BigInteger","17"
"VERTEX90","QRElement","3071"
"VERTEX90","BigInteger","25"
"VERTEX8","QRElement","3071"
"VERTEX8","BigInteger","25"
"VERTEX12","QRElement","3071"
"VERTEX12","BigInteger","26"
"VERTEX32","QRElement","3071"
"VERTEX32","BigInteger","25"
"VERTEX92","QRElement","3071"
"VERTEX92","BigInteger","26"
"EDGE281","QRElement","3071"
"EDGE281","BigInteger","33"
"EDGE310","QRElement","3070"
"EDGE310","BigInteger","33"
"EDGE241","QRElement","3070"
"EDGE241","BigInteger","33"
"EDGE304","QRElement","3071"
"EDGE304","BigInteger","33"
"EDGE253","QRElement","3071"
"EDGE253","BigInteger","33"
"EDGE226","QRElement","3070"
"EDGE226","BigInteger","33"
"EDGE181","QRElement","3070"
"EDGE181","BigInteger","33"
"EDGE169","QRElement","3070"
"EDGE169","BigInteger","33"
"EDGE243","QRElement","3070"
"EDGE243","BigInteger","33"
"EDGE232","QRElement","3071"
"EDGE232","BigInteger","33"
"EDGE202","QRElement","3069"
"EDGE202","BigInteger","33"
"EDGE369","QRElement","3070"
"EDGE369","BigInteger","33"
"EDGE199","QRElement","3070"
"EDGE199","BigInteger","33"
"EDGE218","QRElement","3067"
"EDGE218","BigInteger","33"
"EDGE341","QRElement","3069"
"EDGE341","BigInteger","33"
"EDGE104","QRElement","3071"
"EDGE104","BigInteger","33"
"EDGE378","QRElement","3071"
"EDGE378","BigInteger","33"
"EDGE228","QRElement","3071"
"EDGE228","BigInteger","33"
"EDGE260","QRElement","3070"
"EDGE260","BigInteger","33"
"EDGE110","QRElement","3071"
"EDGE110","BigInteger","33"
"EDGE311","QRElement","3065"
"EDGE311","BigInteger","33"
"URN:proofsignature.A","QRElement","3069"
"URN:P_2.hatd","BigInteger","3067"
"URN:P_2.cPrime","BigInteger","256"
"URN:proofsignature.vPrimePrime","BigInteger","3748"
"URN:proofsignature.e","BigInteger","597"
"VERTEX29","QRElement","3069"
"VERTEX29","BigInteger","25"
"VERTEX65","QRElement","3071"
"VERTEX65","BigInteger","25"
"VERTEX54","QRElement","3071"
"VERTEX54","BigInteger","25"
"VERTEX49","QRElement","3069"
"VERTEX49","BigInteger","25"
"VERTEX7","QRElement","3069"
"VERTEX7","BigInteger","26"
"VERTEX50","QRElement","3070"
"VERTEX50","BigInteger","26"
"VERTEX41","QRElement","3071"
"VERTEX41","BigInteger","26"
"VERTEX67","QRElement","3071"
"VERTEX67","BigInteger","26"
"VERTEX96","QRElement","3070"
"VERTEX96","BigInteger","26"
"VERTEX97","QRElement","3071"
"VERTEX97","BigInteger","25"
"VERTEX59","QRElement","3071"
"VERTEX59","BigInteger","25"
"VERTEX20","QRElement","3069"
"VERTEX20","BigInteger","25"
"VERTEX55","QRElement","3070"
"VERTEX55","BigInteger","25"
"VERTEX78","QRElement","3070"
"VERTEX78","BigInteger","25"
"VERTEX36","QRElement","3069"
"VERTEX36","BigInteger","25"
"VERTEX39","QRElement","3070"
"VERTEX39","BigInteger","25"
"VERTEX13","QRElement","3071"
"VERTEX13","BigInteger","17"
"VERTEX90","QRElement","3071"
"VERTEX90","BigInteger","25"
"VERTEX8","QRElement","3071"
"VERTEX8","BigInteger","25"
"VERTEX12","QRElement","3071"
"VERTEX12","BigInteger","26"
"VERTEX32","QRElement","3071"
"VERTEX32","BigInteger","25"
"VERTEX92","QRElement","3071"
"VERTEX92","BigInteger","26"
"EDGE281","QRElement","3071"
"EDGE281","BigInteger","33"
"EDGE310","QRElement","3070"
"EDGE310","BigInteger","33"
"EDGE241","QRElement","3070"
"EDGE241","BigInteger","33"
"EDGE304","QRElement","3071"
"EDGE304","BigInteger","33"
"EDGE253","QRElement","3071"
"EDGE253","BigInteger","33"
"EDGE226","QRElement","3070"
"EDGE226","BigInteger","33"
"EDGE181","QRElement","3070"
"EDGE181","BigInteger","33"
"EDGE169","QRElement","3070"
"EDGE169","BigInteger","33"
"EDGE243","QRElement","3070"
"EDGE243","BigInteger","33"
"EDGE232","QRElement","3071"
"EDGE232","BigInteger","33"
"EDGE202","QRElement","3069"
"EDGE202","BigInteger","33"
"EDGE369","QRElement","3070"
"EDGE369","BigInteger","33"
"EDGE199","QRElement","3070"
"EDGE199","BigInteger","33"
"EDGE218","QRElement","3067"
"EDGE218","BigInteger","33"
"EDGE341","QRElement","3069"
"EDGE341","BigInteger","33"
"EDGE104","QRElement","3071"
"EDGE104","BigInteger","33"
"EDGE378","QRElement","3071"
"EDGE378","BigInteger","33"
"EDGE228","QRElement","3071"
"EDGE228","BigInteger","33"
"EDGE260","QRElement","3070"
"EDGE260","BigInteger","33"
"EDGE110","QRElement","3071"
"EDGE110","BigInteger","33"
"EDGE311","QRElement","3065"
"EDGE311","BigInteger","33"
