Time_sec
1.922
2.116
2.108
1.915
2.119
2.110
1.926
2.119
1.922
2.108
2.126
1.926
2.109
2.110
1.919
2.114
1.958
1.923
2.109
2.106
1.915
2.119
1.930
1.921
2.128
1.930
2.122
2.104
1.929
2.113
2.106
1.919
2.115
1.924
2.116
2.109
1.923
2.110
2.133
1.924
2.118
