"Benchmark","Mode","Score","Unit","Param: bases","Param: l_n"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","207.780268","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","196.376374","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","198.661845","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","292.568208","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","467.804023","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","235.085573","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","201.855501","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","310.702425","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","390.622522","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","277.337694","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","262.018809","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","203.315582","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","329.269167","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","235.155005","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","283.452014","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","217.680133","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","220.019280","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","332.876459","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","345.494129","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","229.910652","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","217.633843","ms/op","400","512"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","274.041423","ms/op","400","512"
