"Benchmark","Mode","Score","Unit","Param: l_n"
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.860801,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.491663,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",2.052479,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.130929,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",2.230542,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.868777,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.927896,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.595715,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.998075,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.615445,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.556651,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",2.193998,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.809643,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.786174,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.592302,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.696600,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.634826,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.290717,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.503628,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.859722,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.799117,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.684612,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",2.478567,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.928642,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.546007,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.876197,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",2.337149,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.780576,"ops/s",512
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Throughput, ops/time",1.664374,"ops/s",512
