"URN","ClassName","Bitlength"
"URN:prover.commitments.C_i_97","QRElement","1024"
"URN:prover.commitments.C_i_77","QRElement","1023"
"URN:prover.commitments.C_i_76","QRElement","1024"
"URN:prover.commitments.C_i_32","QRElement","1022"
"URN:prover.commitments.C_i_93","QRElement","1022"
"URN:prover.commitments.C_i_84","QRElement","1022"
"URN:prover.commitments.C_i_95","QRElement","1023"
"URN:prover.commitments.C_i_51","QRElement","1024"
"URN:prover.commitments.C_i_50","QRElement","1024"
"URN:prover.commitments.C_i_91","QRElement","1023"
"URN:prover.commitments.C_i_28","QRElement","1023"
"URN:prover.commitments.C_i_38","QRElement","1022"
"URN:prover.commitments.C_i_16","QRElement","1020"
"URN:prover.commitments.C_i_27","QRElement","1023"
"URN:prover.commitments.C_i_57","QRElement","1022"
"URN:prover.commitments.C_i_68","QRElement","1024"
"URN:prover.commitments.C_i_67","QRElement","1023"
"URN:prover.commitments.C_i_23","QRElement","1022"
"URN:prover.commitments.C_i_34","QRElement","1024"
"URN:prover.commitments.C_i_14","QRElement","1024"
"URN:prover.commitments.C_i_69","QRElement","1023"
"URN:prover.commitments.C_i_36","QRElement","1024"
"URN:proofsignature.P_3.responses.hatr_i_38","BigInteger","1362"
"URN:proofsignature.P_3.responses.hatvPrime","BigInteger","3059"
"URN:proofsignature.P_3.responses.hatm_i_84","BigInteger","592"
"URN:proofsignature.P_3.responses.hatr_i_77","BigInteger","1360"
"URN:proofsignature.P_3.responses.hatr_i_76","BigInteger","1362"
"URN:proofsignature.P_3.responses.hatr_i_32","BigInteger","1361"
"URN:proofsignature.P_3.responses.hatm_0","BigInteger","593"
"URN:proofsignature.P_3.responses.hatr_i_36","BigInteger","1362"
"URN:proofsignature.P_3.responses.hatr_i_34","BigInteger","1359"
"URN:proofsignature.P_3.responses.hatm_i_j_258","BigInteger","593"
"URN:proofsignature.P_3.responses.hatm_i_j_336","BigInteger","593"
"URN:proofsignature.P_3.responses.hatm_i_50","BigInteger","593"
"URN:proofsignature.P_3.responses.hatm_i_j_120","BigInteger","593"
"URN:proofsignature.P_3.responses.hatm_i_93","BigInteger","593"
"URN:proofsignature.P_3.responses.hatm_i_j_242","BigInteger","593"
"URN:proofsignature.P_3.responses.hatm_i_91","BigInteger","593"
