Time_sec
2.614
2.423
2.434
2.619
2.431
2.433
2.551
2.429
2.433
2.518
2.634
2.427
2.476
2.623
2.436
2.430
2.616
2.433
2.430
2.604
2.430
2.436
2.621
2.427
2.434
2.477
2.623
2.431
2.519
2.622
2.435
2.431
2.625
2.431
2.429
2.627
2.427
2.428
2.614
2.435
2.429
